model_name,model_size,axis,dataset,condition,n,exact_match_mean,f1_mean,accuracy_mean,main_score_mean,latency_mean,memory_mean,tokens_per_second_mean
Qwen/Qwen2.5-1.5B-Instruct,1.5B,robustness,robustness_gsm8k,robust_format,1000,0.027,0.037268885775272896,0.027,0.027,12.166522771474972,1.4192042179107667,18.42788921764726
Qwen/Qwen2.5-1.5B-Instruct,1.5B,robustness,robustness_gsm8k,robust_original,1000,0.043,0.06259124606413181,0.043,0.043,8.118051472242,1.4185250520706176,17.666004396488045
Qwen/Qwen2.5-1.5B-Instruct,1.5B,robustness,robustness_gsm8k,robust_para,1000,0.051,0.06125090825857889,0.051,0.051,10.550547299253992,1.4183590083122253,18.65631440232895
Qwen/Qwen2.5-1.5B-Instruct,1.5B,robustness,robustness_gsm8k,robust_typo,1000,0.033,0.05472184561905658,0.033,0.033,7.326268690492009,1.4191035308837892,16.842838559423143
Qwen/Qwen2.5-3B-Instruct,3B,robustness,robustness_gsm8k,robust_format,1000,0.003,0.006718734386204773,0.003,0.003,16.66820290245602,2.9078717570304873,15.154500296211056
Qwen/Qwen2.5-3B-Instruct,3B,robustness,robustness_gsm8k,robust_original,1000,0.093,0.14100711654547798,0.093,0.093,4.072593096970995,2.9052929363250732,10.611787946067828
Qwen/Qwen2.5-3B-Instruct,3B,robustness,robustness_gsm8k,robust_para,1000,0.137,0.15096592748210394,0.137,0.137,19.901346068585994,2.907285512924194,15.072211428983103
Qwen/Qwen2.5-3B-Instruct,3B,robustness,robustness_gsm8k,robust_typo,1000,0.085,0.13465860049684328,0.085,0.085,3.6958030569330105,2.9077153367996216,10.798893098943989
Qwen/Qwen2.5-7B-Instruct,7B,robustness,robustness_gsm8k,robust_format,1000,0.068,0.09219246858134224,0.068,0.068,12.711527990446998,6.270883377552033,12.490995309025307
Qwen/Qwen2.5-7B-Instruct,7B,robustness,robustness_gsm8k,robust_original,1000,0.1,0.2053412617969924,0.1,0.1,6.895339248934007,6.268267092704773,11.100713262772368
Qwen/Qwen2.5-7B-Instruct,7B,robustness,robustness_gsm8k,robust_para,1000,0.176,0.23420528162064708,0.176,0.176,6.395792112858007,6.2658894600868225,12.337895563056506
Qwen/Qwen2.5-7B-Instruct,7B,robustness,robustness_gsm8k,robust_typo,1000,0.115,0.21537603458110385,0.115,0.115,8.124633546935,6.268964481830597,11.430296364637725
